"Water, well, in ground, SK";"Resources";"in water";"m3";"67c40aae-d403-464d-9649-c12695e43ad8";"Water, well, in ground";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"COD, Chemical Oxygen Demand";"Emissions to water";"groundwater, long-term";"kg";"a8fea8cf-9b09-49fc-aa58-5a732494a2a0";"COD, Chemical Oxygen Demand";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Copper, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore";"Resources";"in ground";"kg";"8508a83c-6a37-4159-93cc-21a2645390ab";"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Transformation, from dump site, slag compartment";"Resources";"land";"m2";"7d5b5802-3698-4be8-98f8-ab7c1a2e9328";"Transformation, from dump site, slag compartment";"93a60a56-a3c8-19da-a746-0800200c9a66";"Area";"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";1
"Methyl ethyl ketone";"Emissions to air";"high. pop.";"kg";"26b5c174-e20e-430a-a4b1-44de4af8b40f";"Methyl ethyl ketone";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Titanium";"Emissions to water";"groundwater, long-term";"kg";"2a46e7f4-c66c-43e5-8a8a-d119c4098aff";"Titanium, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Metribuzin";"Emissions to air";"low. pop.";"kg";"63e7fe51-8549-11e0-9d78-0800200c9a66";"Metribuzin";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Transformation, from permanent crop";"Resources";"land";"m2";"fcb77a5a-6882-4aeb-82a9-ba57688d2224";"Transformation, from permanent crop";"93a60a56-a3c8-19da-a746-0800200c9a66";"Area";"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";1
"Sulfate";"Emissions to air";"low. pop., long-term";"kg";"a259eb99-e741-49e6-8b3f-8985c018be28";"Sulfate";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Transformation, from shrub land, sclerophyllous";"Resources";"land";"m2";"17a5a406-333f-4b9e-8852-c2de50bc9585";"Transformation, from shrub land, sclerophyllous";"93a60a56-a3c8-19da-a746-0800200c9a66";"Area";"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";1
"Olivine";"Resources";"in ground";"kg";"d7cadc9a-f42c-4711-a8e2-0b626c0a4c7a";"Olivine, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Ethyne";"Emissions to air";;"kg";"42a2f3e7-5393-4a69-9b0b-f70a9139ee24";"Ethyne";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Diethylene glycol";"Emissions to air";"high. pop.";"kg";"d439867e-7ef9-41aa-91e2-de8a922f9158";"Diethylene glycol";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Sodium";"Emissions to water";"river";"kg";"1fc409bc-b8e7-48b2-92d5-2ced4aa7bae2";"Sodium, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
